1111111ALUNO REPROVADO POR FALTAS    10001000100020M
2222222ALUNO REPROVADO POR NOTAS     03000300030005F
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
3333333ALUNO APROVADO                10001000100000M
